date,AAR_EXM_SPS_A_1WSUM
21-Apr-2013,404500492.1
28-Apr-2013,313127716.3
05-May-2013,330169006.9
12-May-2013,373209704.8
19-May-2013,361437801
26-May-2013,399258770.6
02-Jun-2013,371524375.6
09-Jun-2013,316888443.4
16-Jun-2013,383368916.7
23-Jun-2013,329833708.1
30-Jun-2013,291976507.3
07-Jul-2013,196950701.2
14-Jul-2013,300844411.9
21-Jul-2013,356412928.9
28-Jul-2013,358680750.4
04-Aug-2013,316795864.9
11-Aug-2013,332151442.4
18-Aug-2013,308949960.1
25-Aug-2013,378562055.9
01-Sep-2013,335068047.4
08-Sep-2013,206502860.8
15-Sep-2013,362613414.2
22-Sep-2013,356718221.7
29-Sep-2013,285184086.6
06-Oct-2013,319801264.1
13-Oct-2013,277180333.3
20-Oct-2013,269703225.6
27-Oct-2013,281410775.8
03-Nov-2013,313313256.7
10-Nov-2013,320869736.7
17-Nov-2013,298543228
24-Nov-2013,347358932.3
01-Dec-2013,312603118.9
08-Dec-2013,315656924.9
15-Dec-2013,338554295.7
22-Dec-2013,243388203.2
29-Dec-2013,242866277.1
05-Jan-2014,259043287.5
12-Jan-2014,329495153.4
19-Jan-2014,441254414.5
26-Jan-2014,336821859.5
02-Feb-2014,428744061
09-Feb-2014,447108217.3
16-Feb-2014,476677463.4
23-Feb-2014,505654324
02-Mar-2014,634773149.8
09-Mar-2014,780980650.1
16-Mar-2014,595315431.4
23-Mar-2014,438794591.7
30-Mar-2014,433121092.9
06-Apr-2014,524268407.9
13-Apr-2014,577781959
20-Apr-2014,453524616.5
27-Apr-2014,387017925.3
04-May-2014,382800654.5
11-May-2014,383776031.8
18-May-2014,360916812.7
25-May-2014,386704577.3
01-Jun-2014,409619586.5
08-Jun-2014,418535843.8
15-Jun-2014,427124908.6
22-Jun-2014,448884298.2
29-Jun-2014,387451445.7
06-Jul-2014,302516071.7
13-Jul-2014,400597140.4
20-Jul-2014,316662097
27-Jul-2014,356846050.2
03-Aug-2014,427349905.8
10-Aug-2014,358565575.5
17-Aug-2014,343405902
24-Aug-2014,492704159.5
31-Aug-2014,401820826.7
07-Sep-2014,317866381.6
14-Sep-2014,569292380.2
21-Sep-2014,386310574.7
28-Sep-2014,343288528
05-Oct-2014,271775177.7
12-Oct-2014,247973738
19-Oct-2014,222172869.5
26-Oct-2014,245898862.5
02-Nov-2014,300018885.5
09-Nov-2014,391400803.5
16-Nov-2014,377126821.2
23-Nov-2014,461007001.5
30-Nov-2014,349857785.5
07-Dec-2014,403685465
14-Dec-2014,377204719.4
21-Dec-2014,327403835.7
28-Dec-2014,252531977.1
04-Jan-2015,258417112.3
11-Jan-2015,367873828.6
18-Jan-2015,487695535.9
25-Jan-2015,311816100.4
01-Feb-2015,438912195
08-Feb-2015,413547417.5
15-Feb-2015,500375997.6
22-Feb-2015,456533213.2
01-Mar-2015,788096945.7
08-Mar-2015,762584379.7
15-Mar-2015,698730126.8
22-Mar-2015,520122385.1
29-Mar-2015,508496981
05-Apr-2015,440057653.1
12-Apr-2015,670382302.9
19-Apr-2015,944392169.4
26-Apr-2015,469358212.6
03-May-2015,574143419.3
10-May-2015,440936644.1
17-May-2015,426908982.4
24-May-2015,556847579.5
31-May-2015,440074801.4
07-Jun-2015,439895506
14-Jun-2015,439917910.7
21-Jun-2015,466490532
28-Jun-2015,402097686.2
05-Jul-2015,277202516.8
12-Jul-2015,352518482.5
19-Jul-2015,359832794.3
26-Jul-2015,408135897.1
02-Aug-2015,407818803.7
09-Aug-2015,363407890.1
16-Aug-2015,372243956.4
23-Aug-2015,440293262.2
30-Aug-2015,355933200.3
06-Sep-2015,294959711
13-Sep-2015,390428870.6
20-Sep-2015,407160968.5
27-Sep-2015,374741674
04-Oct-2015,279356916.9
11-Oct-2015,329208162.3
18-Oct-2015,313309476.7
25-Oct-2015,270893927.8
01-Nov-2015,388017102.4
08-Nov-2015,404379045.2
15-Nov-2015,338212696.3
22-Nov-2015,357139505.6
29-Nov-2015,338094468.8
06-Dec-2015,441491846
13-Dec-2015,411345162.2
20-Dec-2015,479360157.9
27-Dec-2015,287978605.3
03-Jan-2016,215124278.5
10-Jan-2016,323593906
17-Jan-2016,346319716.2
24-Jan-2016,251804148.4
31-Jan-2016,371436241.1
07-Feb-2016,339365706.6
14-Feb-2016,384812360.2
21-Feb-2016,282832995.3
28-Feb-2016,488979752.9
06-Mar-2016,538268918.7
13-Mar-2016,586623522.7
20-Mar-2016,492048406.1
27-Mar-2016,405600956.8
03-Apr-2016,533188354.4
10-Apr-2016,523427993.6
17-Apr-2016,611427749.8
24-Apr-2016,522502122.8
01-May-2016,470713518.4
08-May-2016,443900873
15-May-2016,380651475.4
22-May-2016,405129649.1
29-May-2016,435019732.9
05-Jun-2016,392115352.7
12-Jun-2016,473824750.1
19-Jun-2016,423322874.1
26-Jun-2016,478447611.2
03-Jul-2016,397311171.9
10-Jul-2016,359933126.4
17-Jul-2016,433335516.5
24-Jul-2016,520332331.7
31-Jul-2016,414757231.3
07-Aug-2016,499862918.9
14-Aug-2016,449341271
21-Aug-2016,485711505
28-Aug-2016,419575689.1
04-Sep-2016,484039149.9
11-Sep-2016,401162335.1
18-Sep-2016,476693520.6
25-Sep-2016,337209334.9
